,price,room_type,cancellation_policy,host_is_superhost,host_identity_verified,is_location_exact,has_availability,requires_license,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,latitude,longitude
1779,65,Private room,strict_14_with_grace_period,False,True,True,True,False,False,False,False,1,1.0,1.0,1.0,300.0,35.0,1,0,3,120,13,24,50,50,18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.4,-37.81778479,144.9462139
1780,93,Entire home/apt,moderate,False,False,True,True,False,True,False,False,4,1.0,2.0,2.0,0.0,30.0,1,10,1,10,0,0,0,0,13,94.0,10.0,9.0,10.0,10.0,10.0,10.0,2,0.55,-37.773208000000004,144.9978643
1781,280,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,5,1.0,2.0,4.0,250.0,0.0,4,40,1,1125,19,42,72,344,2,70.0,10.0,6.0,10.0,10.0,10.0,8.0,3,1.43,-37.88087689,145.1603806
1782,159,Entire home/apt,moderate,True,False,True,True,False,True,False,False,4,1.0,2.0,2.0,300.0,109.0,4,39,1,1125,20,50,74,74,8,95.0,10.0,10.0,10.0,10.0,10.0,10.0,38,1.88,-37.80675051,144.9594146
1783,120,Entire home/apt,flexible,True,True,True,True,False,False,False,False,2,1.0,0.0,0.0,0.0,48.0,1,0,2,21,6,16,36,210,31,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,5.34,-37.81766214,144.9596355
1784,138,Entire home/apt,strict_14_with_grace_period,True,True,True,True,False,True,False,False,2,1.0,1.0,1.0,200.0,20.0,1,10,1,1125,21,51,79,118,8,98.0,10.0,9.0,10.0,10.0,10.0,9.0,4,8.0,-37.81438597,144.9541713
1785,219,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,10,2.5,4.0,6.0,500.0,169.0,8,15,3,1125,14,22,44,53,32,88.0,9.0,9.0,9.0,9.0,9.0,9.0,22,3.66,-37.87708753,145.10313390000002
1786,136,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,False,False,False,6,1.0,2.0,5.0,250.0,150.0,4,10,2,1024,22,50,80,355,34,91.0,9.0,9.0,10.0,9.0,10.0,9.0,33,0.94,-37.869304299999996,144.99742949999998
1787,251,Entire home/apt,moderate,False,True,True,True,False,False,True,True,4,1.0,2.0,2.0,150.0,100.0,1,0,3,80,7,29,54,144,48,96.0,10.0,9.0,10.0,10.0,9.0,9.0,2,0.72,-37.79909759,144.9819895
1788,130,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,True,False,False,2,1.0,1.0,1.0,500.0,95.0,2,8,5,59,13,43,73,348,8,98.0,10.0,9.0,10.0,10.0,10.0,10.0,21,0.31,-37.87026856,144.97818909999998
1789,100,Entire home/apt,moderate,False,True,False,True,False,False,False,False,6,1.5,2.0,3.0,150.0,70.0,2,15,6,1125,15,17,46,46,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.32,-37.79601441,144.9712825
1790,96,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,False,False,False,2,1.0,1.0,1.0,250.0,20.0,1,20,2,1125,0,0,0,0,14,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1,0.54,-37.8578774,144.98767180000002
1791,145,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,12,2.0,4.0,12.0,0.0,170.0,1,0,1,200,0,20,32,121,1,80.0,6.0,6.0,10.0,8.0,10.0,8.0,3,0.39,-37.88605167,144.9867833
1792,136,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,True,True,3,1.0,1.0,2.0,250.0,85.0,2,0,1,1125,25,55,78,353,36,88.0,9.0,9.0,9.0,9.0,10.0,9.0,90,1.18,-37.85860826,144.9791251
1793,199,Entire home/apt,strict_14_with_grace_period,False,True,False,True,False,False,False,False,4,1.0,2.0,2.0,350.0,110.0,2,25,5,30,7,37,67,157,15,92.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0.36,-37.79326166,144.9884585
1794,299,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,4,1.0,2.0,2.0,500.0,7.0,4,0,3,1125,25,54,81,356,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,10,0.16,-37.84037834,144.93644730000003
1795,158,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,True,False,False,8,1.0,2.0,6.0,200.0,79.0,4,25,1,1125,16,36,63,146,14,93.0,9.0,10.0,10.0,10.0,10.0,10.0,13,2.55,-37.81397432,144.9542507
1796,96,Entire home/apt,flexible,True,False,True,True,False,False,False,False,2,2.0,1.0,1.0,500.0,100.0,1,0,3,1125,12,32,62,152,14,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.35,-37.81814548,145.012067
1797,148,Entire home/apt,moderate,False,False,False,True,False,False,False,False,4,1.5,2.0,3.0,200.0,85.0,1,0,3,90,9,39,69,180,2,90.0,9.0,10.0,9.0,10.0,8.0,8.0,5,0.08,-37.99313621,145.20306430000002
1798,228,Entire home/apt,strict_14_with_grace_period,True,True,False,True,False,False,False,False,7,2.0,3.0,4.0,300.0,120.0,6,30,1,7,1,12,36,36,15,97.0,10.0,10.0,10.0,10.0,10.0,10.0,5,5.92,-37.80737824,144.96067250000002
1799,161,Entire home/apt,moderate,True,True,True,True,False,False,False,False,5,1.5,2.0,3.0,400.0,90.0,4,20,2,1125,0,2,2,2,57,98.0,10.0,10.0,10.0,10.0,10.0,10.0,26,3.53,-37.82416377,144.96691289999998
1800,170,Private room,flexible,True,False,True,True,False,False,False,False,2,2.0,1.0,2.0,500.0,100.0,1,0,1,1125,30,60,90,365,5,88.0,9.0,8.0,8.0,10.0,10.0,8.0,3,0.14,-37.81558221,144.97775180000002
1801,251,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,True,False,False,6,1.5,3.0,3.0,0.0,0.0,6,100,2,1125,19,45,69,110,30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.38,-37.6575051,145.52876519999998
1802,125,Entire home/apt,strict_14_with_grace_period,False,True,True,True,False,True,False,False,4,1.0,2.0,2.0,250.0,125.0,2,0,7,1125,13,43,52,315,12,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.96,-37.77162033,144.9101594
1803,155,Entire home/apt,moderate,False,False,False,True,False,False,False,False,4,1.0,2.0,2.0,1000.0,100.0,1,0,3,1125,0,0,0,0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.09,-37.84392735,144.99594960000002
1804,40,Private room,moderate,False,True,True,True,False,False,False,False,2,2.0,1.0,1.0,200.0,15.0,1,15,1,14,30,60,90,365,9,91.0,9.0,9.0,10.0,10.0,8.0,10.0,9,0.4,-37.84799653,145.0874802
1805,100,Entire home/apt,moderate,True,True,True,True,False,False,False,False,2,1.0,1.0,1.0,250.0,20.0,1,0,1,7,6,6,29,119,63,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6.9,-37.83385922,144.9581136
1806,112,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,2,1.0,1.0,1.0,400.0,89.0,2,29,4,1125,5,33,63,63,17,90.0,9.0,10.0,10.0,10.0,10.0,9.0,9,1.16,-37.85021926,144.98207659999997
1807,80,Private room,moderate,False,True,True,True,False,False,False,False,2,2.0,1.0,1.0,200.0,40.0,1,24,1,1125,8,8,38,107,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.24,-37.80581061,144.9518654
1808,112,Entire home/apt,moderate,True,True,False,True,False,True,False,False,4,1.0,2.0,2.0,0.0,35.0,2,15,2,1125,0,0,0,0,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.56,-37.76913464,144.9783954
1809,190,Entire home/apt,moderate,True,False,True,True,False,True,False,False,6,2.0,2.0,2.0,300.0,65.0,4,25,1,365,6,21,41,291,37,97.0,10.0,10.0,10.0,10.0,10.0,9.0,4,3.33,-37.81093741,144.961287
1810,98,Private room,flexible,False,True,True,True,False,True,False,False,2,1.0,1.0,1.0,0.0,30.0,1,0,2,14,25,55,85,85,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.0,-37.83066826,144.968572
1811,46,Private room,moderate,False,False,True,True,False,True,False,False,2,1.0,1.0,1.0,150.0,20.0,1,0,3,1125,17,47,77,352,9,87.0,9.0,10.0,9.0,9.0,9.0,9.0,6,0.75,-38.07506041,145.1325195
1812,100,Entire home/apt,moderate,True,False,True,True,False,True,False,False,4,2.0,2.0,2.0,200.0,80.0,4,35,2,20,9,31,61,86,22,96.0,10.0,10.0,10.0,10.0,10.0,10.0,5,7.02,-37.81543334,144.9463791
1813,145,Entire home/apt,strict_14_with_grace_period,False,False,False,True,False,True,False,False,4,1.0,2.0,2.0,250.0,65.0,3,0,1,1125,22,47,75,161,50,83.0,9.0,8.0,8.0,9.0,9.0,8.0,26,2.65,-37.81056285,144.95235060000002
